"Task ID","Task Name","Status"
"4.1.1","Check if cron daemon is installed","Failed"
"4.1.2","Ensure permissions on /etc/crontab are configured","Failed"
"4.1.3","Ensure permissions on /etc/cron.hourly are configured","Failed"
"4.1.4","Ensure permissions on /etc/cron.daily are configured","Failed"
"4.1.5","Ensure permissions on /etc/cron.weekly are configured","Failed"
"4.1.6","Ensure permissions on /etc/cron.monthly are configured","Failed"
"4.1.7","Ensure permissions on /etc/cron.d are configured","Failed"
"4.2.10","Ensure permissions on /etc/group are configured","Passed"
"4.2.11","Ensure SSH IgnoreRhosts is enabled","Passed"
"4.2.12","Ensure SSH X11 forwarding is disabled","Failed"
"4.2.13","Ensure SSH AllowTcpForwarding is disabled","Failed"
"4.2.14","Ensure system-wide crypto policy is not over-ridden","Passed"
"4.2.16","Ensure SSH MaxAuthTries is set to 4 or less","Failed"
"4.2.17","Ensure SSH MaxStartups is configured","Passed"
"4.2.18","Ensure SSH MaxSessions is set to 10 or less","Passed"
"4.2.19","Ensure SSH LoginGraceTime is set to one minute or less","Failed"
"4.2.1","Ensure permissions on /etc/ssh/sshd_config are configured","Passed"
"4.2.10","Ensure permissions on /etc/group are configured","Passed"
"4.2.5","Ensure SSH LogLevel is appropriate","Passed"
"4.2.6","Ensure SSH PAM is enabled","Passed"
"4.2.7","Ensure SSH root login is disabled","Failed"
"4.2.8","Ensure SSH HostbasedAuthentication is disabled","Passed"
"4.2.9","Ensure SSH PermitEmptyPasswords is disabled","[Passed]"
"4.3.1","Ensure sudo is installed","Passed"
"4.4.1","Ensure custom authselect profile is used","Failed"
"4.5.1","Ensure password creation requirements are configured","Failed"
"4.6.1.1","Ensure password expiration is 365 days or less","Failed"
"4.6.1.2","Ensure minimum days between password changes is configured","Failed"
"4.6.1.3","Ensure password expiration warning days is 7 or more","Passed"
"4.6.1.4","Ensure inactive password lock is 30 days or less","Failed"
"4.6.4","Ensure default group for the root account is GID 0","Passed"
"4.6.6","Ensure root password is set","Failed"
"5.1.1.1","Ensure rsyslog is installed","Failed"
"5.1.1.2","Ensure rsyslog service is enabled","Failed"
"5.1.1.3","Ensure journald is configured to send logs to rsyslog","Failed"
"5.1.1.4","Ensure rsyslog default file permissions are configured","Failed"
"5.1.1.7","Ensure rsyslog is not configured to receive logs from a remote client","Passed"
"5.1.2.1.1","Ensure systemd-journal-remote is installed","Failed"
"5.1.2.1.3","Ensure systemd-journal-remote is enabled","Failed"
"5.1.2.1.4","Ensure journald is not configured to receive logs from a remote client","Failed"
"5.1.2.2","Ensure journald service is enabled","Passed"
"5.1.2.3","Ensure journald is configured to compress large log files","Failed"
"5.1.2.4","Ensure journald is configured to write logfiles to persistent disk","Failed"
"5.1.2.5","Ensure journald is not configured to send logs to rsyslog","Passed"
"5.2.1.1","Ensure auditd is installed","Passed"
"5.2.1.2","Ensure auditing for processes that start prior to auditd is enabled","Failed"
"5.2.1.4","Ensure auditd service is enabled","Passed"
"5.2.2.1","Ensure audit log storage size is configured","Passed"
"5.2.2.2","Ensure audit logs are not automatically deleted","Failed"
"5.2.2.3","Ensure system is disabled when audit logs are full","Failed"
"5.2.4.1","Ensure audit log files are mode 0640 or less permissive","Passed"
"5.2.4.2","Ensure only authorized users own audit log files","Passed"
"5.2.4.3","Ensure only authorized groups are assigned ownership of audit log files","Passed"
"5.2.4.4","Ensure the audit log directory is 0750 or more restrictive","Passed"
"5.2.4.5","Ensure audit configuration files are 640 or more restrictive","Passed"
"5.2.4.6","Ensure audit configuration files are owned by root","Passed"
"5.2.4.7","Ensure audit configuration files belong to group root","Passed"
"5.2.4.8","Ensure audit tools are 755 or more restrictive","Passed"
"5.2.4.9","Ensure audit tools are owned by root","Passed"
"5.2.4.10","Ensure audit tools belong to group root","Passed"
"6.1.1","Ensure permissions on /etc/passwd are configured","Passed"
"6.1.3","Ensure permissions on /etc/passwd- are configured","Passed"
"6.1.4","Ensure permissions on /etc/group are configured","Passed"
"6.1.5","Ensure permissions on /etc/group- are configured","Passed"
"6.1.6","Ensure permissions on /etc/shadow are configured","Passed"
"6.1.7","Ensure permissions on /etc/shadow- are configured","Passed"
"6.1.8","Ensure permissions on /etc/gshadow are configured","Passed"
"6.1.9","Ensure permissions on /etc/gshadow- are configured","Passed"
"6.2.1","Ensure accounts in /etc/passwd use shadowed passwords","Passed"
"6.2.2","Ensure /etc/shadow password fields are not empty","Passed"
"6.2.3","Ensure all groups in /etc/passwd exist in /etc/group","Passed"
"6.2.4","Ensure no duplicate UIDs exist","Passed"
"6.2.5","Ensure no duplicate GIDs exist","Passed"
"6.2.6","Ensure no duplicate user names exist","Passed"
"6.2.7","Ensure no duplicate group names exist","Passed"
"6.2.8","Ensure root PATH Integrity","Passed"
"6.2.9","Ensure root is the only UID 0 account","Passed"
"1.1.2.1","Ensure /tmp is a separate partition","Passed"
"1.1.2.2","Ensure nodev option set on /tmp partition","Passed"
"1.1.2.3","Ensure noexec option set on /tmp partition","Failed"
"1.1.2.4","Ensure nosuid option set on /tmp partition","Passed"
"1.1.3.1","Ensure separate partition exists for /var","Failed"
"1.1.3.2","Ensure nodev option set on /var partition","Failed"
"1.1.3.3","Ensure nosuid option set on /var partition","Failed"
"1.1.4.1","Ensure separate partition exists for /var/tmp","Failed"
"1.1.4.2","Ensure noexec option set on /var/tmp partition","Failed"
"1.1.4.3","Ensure nosuid option set on /var/tmp partition","Failed"
"1.1.4.4","Ensure nodev option set on /var/tmp partition","Failed"
"1.1.5.1","Ensure separate partition exists for /var/log","Failed"
"1.1.5.2","Ensure nodev option set on /var/log partition","Failed"
"1.1.5.3","Ensure noexec option set on /var/log partition","Failed"
"1.1.5.4","Ensure nosuid option set on /var/log partition","Failed"
"1.1.6.1","Ensure separate partition exists for /var/log/audit","Failed"
"1.1.6.2","Ensure noexec option set on /var/log/audit partition","Failed"
"1.1.6.3","Ensure nodev option set on /var/log/audit partition","Failed"
"1.1.6.4","Ensure nosuid option set on /var/log/audit partition","Failed"
"1.1.7.1.","Ensure separate partition exists for /home","Failed"
"1.1.7.2","Ensure nodev option set on /home partition","Failed"
"1.1.7.3","Ensure nosuid option set on /home partition","Failed"
"1.1.8.1","Ensure /dev/shm is a separate partition","Passed"
"1.1.8.2","Ensure nodev option set on /dev/shm partition","Passed"
"1.1.8.3","Ensure noexec option set on /dev/shm partition","Failed"
"1.1.8.4","Ensure nosuid option set on /dev/shm partition","Passed"
"1.2.2","Ensure gpgcheck is globally activated","Passed"
"1.2.3","Ensure package manager repositories are configured","Passed"
"1.2.4","Ensure repo_gpgcheck is globally activated","Failed"
"1.3.1","Ensure AIDE is installed","Failed"
"1.5.3","Ensure core dump storage is disabled","Failed"
"1.5.4","Ensure core dump backtraces are disabled","Failed"
"1.6.1.1","Ensure SELinux is installed","Passed"
"1.6.1.2","Ensure SELinux is not disabled in bootloader configuration","Passed"
"1.6.1.3","Ensure SELinux policy is configured","Passed"
"1.6.1.4","Ensure the SELinux mode is not disabled","Passed"
"1.6.1.5","Ensure the SELinux mode is enforcing","Failed"
"1.6.1.6","Ensure no unconfined services exist","Failed"
"1.6.1.7","Ensure SETroubleshoot is not installed","Passed"
"1.6.1.8","Ensure the MCS Translation Service (mcstrans) is not installed","Passed"
"1.7.1","Ensure message of the day is configured properly","Passed"
"1.7.2","Ensure local login warning banner is configured properly","Failed"
"1.7.3","Ensure remote login warning banner is configured properly","Failed"
"1.7.4","Ensure permissions on /etc/motd are configured","Passed"
"1.7.5","Ensure permissions on /etc/issue are configured","Passed"
"1.7.6","Ensure permissions on /etc/issue.net are configured","Passed"
"2.1.1","Ensure time synchronization is in use","Passed"
"2.1.2","Ensure chrony is configured","Failed"
"2.2.1","Ensure xorg-x11-server-common is not installed","Passed"
"2.2.2","Ensure avahi is not installed","Passed"
"2.2.3","Ensure a print server is not installed","Passed"
"2.2.4","Ensure a dhcp server is not installed","Passed"
"2.2.5","Ensure a dns server is not installed","Passed"
"2.2.6","Ensure an ftp server is not installed","Passed"
"2.2.7","Ensure a tftp server is not installed","Passed"
"2.2.8","Ensure a web server is not installed","Passed"
"2.2.9","Ensure IMAP and POP3 server is not installed","Passed"
"2.2.10","Ensure Samba is not installed","Passed"
"2.2.11","Ensure HTTP Proxy Server is not installed","Passed"
"2.2.12","Ensure net-snmp is not installed or the snmpd service is not enabled","Passed"
"2.2.13","Ensure telnet-server is not installed","Passed"
"2.2.14","Ensure dnsmasq is not installed","Passed"
"2.2.15","Ensure mail transfer agent is configured for local-only mode","Passed"
"2.2.16","Ensure nfs-utils is not installed or the nfs-server service is masked","Failed"
"2.2.17","Ensure rpcbind is not installed or the rpcbind services are masked","Failed"
"2.2.18","Ensure rsync-daemon is not installed or the rsyncd service is masked","Passed"
"2.3.1","Ensure telnet client is not installed","Passed"
"2.3.2","Ensure LDAP client is not installed","Passed"
"2.3.3","Ensure FTP client is not installed","Passed"
"3.4.1.1","Ensure nftables is installed","Failed"
"3.4.2.6","Ensure nftables established connections are configured","Failed"
"3.4.2.7","Ensure nftables default deny firewall policy","Passed"

